Id,Netto,Qta,Dim,Lav,Date,Cap,TipoAttivita,idMatrice,idCat,TipoCalc
225,0.0,0.0,0.0,0,2022-02-17,10010,BAR,1,5,T04
226,276.23,153.57,5.0,1,2022-02-19,10010,BAR,1,1,T04
227,708.68,135.31,6.0,1,2022-02-19,10010,BAR,1,2,T04
228,233.75,63.58,5.0,1,2022-02-19,10010,BAR,1,3,T04
229,1441.35,287.58,7.0,1,2022-02-19,10010,BAR,1,4,T04
230,771.27,197.73,5.0,1,2022-02-19,10010,BAR,1,5,T04
231,144.88,97.16,5.0,1,2022-02-24,10010,BAR,1,1,T04
232,328.54,61.43,5.0,1,2022-02-24,10010,BAR,1,2,T04
233,32.07,16.47,4.0,1,2022-02-24,10010,BAR,1,3,T04
234,460.18,104.92,5.0,1,2022-02-24,10010,BAR,1,4,T04
235,0.0,0.0,0.0,0,2022-02-24,10010,BAR,1,5,T04
236,113.22,47.93,5.0,1,2022-02-26,10010,BAR,1,1,T04
237,162.38,50.1,5.0,1,2022-02-26,10010,BAR,1,2,T04
238,82.67,27.32,5.0,1,2022-02-26,10010,BAR,1,3,T04
239,1343.28,149.93,7.0,1,2022-02-26,10010,BAR,1,4,T04
240,414.78,80.7,5.0,1,2022-02-26,10010,BAR,1,5,T04
241,108.98,57.41,4.0,1,2022-02-28,10010,BAR,1,1,T04
242,354.83,67.43,4.0,1,2022-02-28,10010,BAR,1,2,T04
243,45.44,20.17,3.0,1,2022-02-28,10010,BAR,1,3,T04
244,273.58,49.42,3.0,1,2022-02-28,10010,BAR,1,4,T04
245,0.0,0.0,0.0,0,2022-02-28,10010,BAR,1,5,T04
246,220.84,96.53,5.0,1,2022-03-05,10010,BAR,1,1,T04
247,619.96,97.93,5.0,1,2022-03-05,10010,BAR,1,2,T04
248,112.66,36.26,5.0,1,2022-03-05,10010,BAR,1,3,T04
249,1358.98,238.38,7.0,1,2022-03-05,10010,BAR,1,4,T04
250,519.4,123.4,5.0,1,2022-03-05,10010,BAR,1,5,T04
