chart_date,country,release_cohort_month,chart_tracks,streams,average_rank,average_days_since_release
2026-07-05,IT,2025-03-01,4,320932,101.0,464.0
2026-07-05,IT,2025-06-01,4,220102,136.0,387.25
2026-07-05,IT,2025-01-01,5,454539,61.0,546.0
2026-07-05,IT,2025-09-01,5,314020,117.6,286.6
2026-07-05,IT,2025-05-01,5,263781,147.4,413.6
2026-07-05,IT,2025-04-01,7,497304,101.28571428571429,446.2857142857143
2026-07-05,IT,2024-06-01,7,411651,126.99999999999999,752.1428571428571
2026-07-05,IT,2026-03-01,8,792362,78.125,110.62500000000001
2026-07-05,IT,2026-02-01,13,1140503,83.84615384615384,133.07692307692307
2026-07-05,IT,2026-05-01,13,1642767,48.99999999999999,50.23076923076923
2026-07-05,IT,2026-01-01,14,1365402,71.50000000000001,169.00000000000003
2026-07-05,IT,2026-06-01,15,1388542,80.19999999999999,22.06666666666667
2026-07-05,IT,2026-04-01,15,1535904,64.06666666666668,82.6
2026-06-23,IT,2016-09-01,1,48611,182.0,3574.0
2026-06-23,IT,2025-11-01,1,108894,38.0,228.0
2026-06-23,IT,2024-02-01,1,50730,166.0,872.0
2026-06-23,IT,2017-05-01,1,79769,69.0,3336.0
2026-06-23,IT,2011-12-01,1,54481,142.0,5300.0
2026-06-23,IT,2016-10-01,1,52276,156.0,3532.0
2026-06-23,IT,2011-04-01,1,75879,73.0,5534.0
2026-06-23,IT,2022-07-01,1,49644,176.0,1448.0
2026-06-23,IT,1996-10-01,1,48172,190.0,10830.0
2026-06-23,IT,2018-11-01,1,54084,145.0,2762.0
2026-06-23,IT,2022-05-01,1,105569,39.0,1509.0
2026-06-23,IT,2025-12-01,1,50267,171.0,201.0
2026-06-23,IT,2012-10-01,1,54267,144.0,5005.0
2026-06-23,IT,2023-06-01,1,47539,198.0,1117.0
2026-06-23,IT,2014-08-01,1,58349,127.0,4340.0
2026-06-23,IT,2023-02-01,1,65979,91.0,1229.0
2026-06-23,IT,2022-09-01,1,69087,84.0,1376.0
2026-06-23,IT,2024-08-01,1,49891,174.0,683.0
2026-06-23,IT,2023-11-01,1,53298,151.0,949.0
2026-06-23,IT,2018-06-01,1,47771,194.0,2916.0
2026-06-23,IT,2017-11-01,1,59668,124.0,3133.0
2026-06-23,IT,2018-10-01,1,73533,75.0,2807.0
2026-06-23,IT,2020-09-01,1,53404,149.0,2097.0
2026-06-23,IT,2012-03-01,1,47672,195.0,5216.0
2026-06-23,IT,2017-03-01,1,49423,178.0,3385.0
2026-06-23,IT,2024-09-01,1,59861,123.0,648.0
2026-06-23,IT,1993-01-01,1,69407,82.0,12226.0
2026-06-23,IT,2000-10-01,1,47569,196.0,9373.0
2026-06-23,IT,2016-01-01,1,61889,112.0,3805.0
2026-06-23,IT,2018-01-01,1,52245,157.0,3077.0
2026-06-23,IT,1998-01-01,1,66471,90.0,10400.0
2026-06-23,IT,2016-04-01,1,50493,169.0,3714.0
2026-06-23,IT,2013-01-01,1,100825,50.0,4921.0
2026-06-23,IT,2022-06-01,1,62347,109.0,1481.0
2026-06-23,IT,1983-06-01,1,57787,130.0,15712.0
2026-06-23,IT,2013-06-01,1,50371,170.0,4767.0
2026-06-23,IT,2012-01-01,2,183085,79.5,5287.0
2026-06-23,IT,2021-02-01,2,185402,99.5,1957.0
2026-06-23,IT,2020-06-01,2,104159,158.0,2199.5
2026-06-23,IT,2025-10-01,2,143665,78.5,245.5
2026-06-23,IT,1995-01-01,2,111036,145.0,11496.0
2026-06-23,IT,1982-11-01,2,181341,58.5,15911.0
2026-06-23,IT,2025-02-01,2,179405,107.5,495.0
2026-06-23,IT,2024-12-01,3,162807,154.0,558.0
2026-06-23,IT,2025-07-01,3,201965,95.66666666666667,340.0
2026-06-23,IT,2019-03-01,3,187569,113.0,2645.3333333333335
2026-06-23,IT,2025-03-01,3,332853,54.0,452.0
2026-06-23,IT,2025-06-01,3,182390,116.33333333333333,377.6666666666667
2026-06-23,IT,2025-08-01,3,225416,121.33333333333333,305.0
2026-06-23,IT,2025-05-01,4,208653,165.5,403.25
2026-06-23,IT,2024-11-01,4,274293,118.25,577.25
2026-06-23,IT,2024-10-01,4,286509,91.75,606.0
2026-06-23,IT,2025-01-01,6,523622,82.5,534.0
2026-06-23,IT,2024-06-01,6,332435,144.83333333333334,736.8333333333334
2026-06-23,IT,2025-04-01,7,532739,91.85714285714286,434.2857142857143
2026-06-23,IT,2026-03-01,8,874248,73.50000000000001,98.625
2026-06-23,IT,2025-09-01,8,530027,116.375,273.87499999999994
